ratioD	ratio_off_off
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
100.00	64.51
100.00	64.51
60.00	11.29
100.00	64.51
100.00	64.51
60.00	11.29
100.00	64.51
100.00	64.51
60.00	11.29
100.00	64.51
100.00	64.51
60.00	11.29
100.00	64.51
100.00	64.51
60.00	11.29
100.00	64.51
100.00	64.51
60.00	11.29
100.00	64.51
100.00	64.51
60.00	11.29
100.00	64.51
100.00	64.51
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
100.00	61.29
100.00	61.29
60.00	11.29
100.00	61.29
100.00	61.29
60.00	11.29
100.00	61.29
100.00	61.29
60.00	11.29
100.00	61.29
100.00	61.29
60.00	11.29
100.00	61.29
100.00	61.29
60.00	11.29
100.00	61.29
100.00	61.29
60.00	11.29
100.00	61.29
100.00	61.29
60.00	11.29
100.00	61.29
100.00	61.29
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
94.28	41.93
94.28	41.93
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
88.57	22.58
88.57	22.58
60.00	11.29
91.42	27.41
91.42	27.41
60.00	11.29
91.42	27.41
91.42	27.41
60.00	11.29
91.42	27.41
91.42	27.41
60.00	11.29
91.42	27.41
91.42	27.41
60.00	11.29
91.42	27.41
91.42	27.41
60.00	11.29
91.42	27.41
91.42	27.41
60.00	11.29
91.42	27.41
91.42	27.41
60.00	11.29
91.42	27.41
91.42	27.41
60.00	11.29
91.42	27.41
91.42	27.41
60.00	11.29
91.42	27.41
91.42	27.41
60.00	11.29
