(len,id,matches)	 ratioD_median 	 off_off_ratios_median
20,60,16	100.00	45.16
18,60,25	55.65	3.22
16,80,20	100.00	45.16
14,100,25	55.65	3.22
18,100,18	88.88	25.80
18,100,22	74.70	11.29
20,80,18	100.00	45.16
14,60,20	100.00	45.16
16,60,22	100.00	41.93
16,80,18	100.00	46.77
20,60,20	100.00	45.16
20,100,25	55.65	3.22
20,80,20	100.00	45.16
16,80,16	100.00	46.77
16,60,16	100.00	46.77
16,60,18	100.00	46.77
16,100,25	55.65	3.22
14,100,18	88.88	25.80
20,80,22	100.00	41.93
16,60,20	100.00	45.16
18,80,20	100.00	45.16
20,60,18	100.00	45.16
18,60,20	100.00	45.16
14,80,25	55.65	3.22
14,100,20	83.33	16.12
20,80,16	100.00	45.16
20,100,18	83.33	16.12
20,100,22	74.70	11.29
18,80,18	100.00	46.77
18,80,16	100.00	46.77
20,60,25	55.65	3.22
18,60,16	100.00	46.77
14,100,22	74.70	11.29
16,100,18	88.88	25.80
20,100,20	83.33	16.12
20,100,16	83.33	16.12
18,100,25	55.65	3.22
18,80,22	100.00	41.93
18,60,22	100.00	41.93
16,80,25	55.65	3.22
14,100,16	94.28	25.80
16,100,20	83.33	16.12
14,80,18	100.00	46.77
14,80,22	100.00	41.93
16,60,25	55.65	3.22
18,60,18	100.00	46.77
14,80,20	100.00	45.16
14,80,16	100.00	46.77
16,100,22	74.70	11.29
20,80,25	55.65	3.22
14,60,25	55.65	3.22
14,60,22	100.00	41.93
20,60,22	100.00	41.93
16,100,16	94.28	25.80
14,60,18	100.00	46.77
16,80,22	100.00	41.93
18,100,20	83.33	16.12
18,100,16	88.88	25.80
14,60,16	100.00	46.77
18,80,25	55.65	3.22
