Dpy-13:474_498
#hits:150
Trascript_details:'NR_070265', '3', '+', '12785975', '13210622'
Trascript_details:'NM_066328', '3', '+', '7948824', '7949842'
Trascript_details:'NM_001306597', '2', '-', '7167634', '7168606'
Trascript_details:'NM_063409', '2', '-', '8568026', '8569018'
Trascript_details:'NM_063908', '2', '+', '10704862', '10705901'
Trascript_details:'NM_182305', '4', '+', '1548732', '1549673'
Trascript_details:'NM_067299', '3', '-', '12992578', '12993592'
Trascript_details:'NM_077469', '10', '+', '11201473', '11202377'
Trascript_details:'NM_001270294', '10', '+', '13469401', '13470308'
Trascript_details:'NM_001029723', '10', '+', '6279979', '6280885'
Trascript_details:'NR_070304', '3', '-', '11680279', '11746612'
Trascript_details:'NM_069126', '4', '-', '8822992', '8824151'
Trascript_details:'NM_059844', '1', '-', '8243747', '8244942'
Trascript_details:'NM_078121', '10', '-', '15175036', '15176393'
Trascript_details:'NM_062479', '2', '-', '4872211', '4873121'
Trascript_details:'NM_181982', '3', '-', '11705612', '11706544'
Trascript_details:'NM_069160', '4', '-', '8978910', '8979780'
Trascript_details:'NM_059690', '1', '-', '7403337', '7404349'
Trascript_details:'NM_073899', '5', '-', '13317061', '13317984'
Trascript_details:'NR_070178', '4', '+', '3674859', '4526957'
Trascript_details:'NM_072673', '5', '-', '8049804', '8050844'
Trascript_details:'NM_064134', '2', '+', '11868481', '11869580'
Trascript_details:'NM_076873', '10', '-', '7536606', '7537742'
Trascript_details:'NM_073277', '5', '-', '10423984', '10424987'
Trascript_details:'NR_131382', '1', '-', '5301770', '5317395'
Trascript_details:'NM_069428', '4', '-', '10084463', '10085416'
Trascript_details:'NM_182112', '2', '+', '7544085', '7545211'
Trascript_details:'NR_052696', '3', '-', '12847169', '13553664'
Trascript_details:'NM_001047831', '10', '+', '12105077', '12105917'
Trascript_details:'NM_065685', '3', '+', '5107293', '5108404'
Trascript_details:'NM_069714', '4', '+', '11263378', '11264309'
Trascript_details:'NR_070175', '4', '+', '1356070', '1628498'
Trascript_details:'NM_073083', '5', '+', '9629932', '9630936'
